"Title","URL handle","Option1 name","Option1 value","Product image URL","Image position","Image alt text"
"Bharara Scarlet 100 ML","bharara-scarlet-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara Scarlet 100 ML"
"Bharara King Parfum 100 ML","bharara-king-parfum-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara King Parfum 100 ML"
"Bharara Viking Dubai 100ml","bharara-viking-dubai-100ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara Viking Dubai 100ml"
"Bharara Viking Kaskmir 100 ML","bharara-viking-kaskmir-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara Viking Kaskmir 100 ML"
"Bharara Viking Cairo 100 ML","bharara-viking-cairo-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bharara","1","Bharara Viking Cairo 100 ML"
"Valentino Bor In Roma 100 ML","valentino-bor-in-roma-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Valentino","1","Valentino Bor In Roma 100 ML"
"Valentino Donna 100 ML","valentino-donna-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Valentino","1","Valentino Donna 100 ML"
"Stronger Intensly 100 ML","stronger-intensly-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Emporio%20Armani","1","Stronger Intensly 100 ML"
"Hawas For Him 100 ML","hawas-for-him-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Hawas For Him 100 ML"
"Hawas Ice 100 ML","hawas-ice-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Hawas Ice 100 ML"
"Hawas Fire 100 ML","hawas-fire-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Hawas Fire 100 ML"
"Hawas Elixir 100 ML","hawas-elixir-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Hawas Elixir 100 ML"
"Hawas For Her 100 ML","hawas-for-her-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Hawas For Her 100 ML"
"Ahli Karpos 60 ML","ahli-karpos-60-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Ahli Karpos 60 ML"
"Ahli Vega 60 ML","ahli-vega-60-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Ahli Vega 60 ML"
"Ahli Corvus 60 ML","ahli-corvus-60-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Ahli Corvus 60 ML"
"Ilmin Kakuno 30 ML","ilmin-kakuno-30-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ilmin","1","Ilmin Kakuno 30 ML"
"Ilmin Femme 30 ML","ilmin-femme-30-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ilmin","1","Ilmin Femme 30 ML"
"Ilmin Il Roso 30 ML","ilmin-il-roso-30-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Ilmin","1","Ilmin Il Roso 30 ML"
"9pm Afnan 100 ML","9pm-afnan-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Afnan","1","9pm Afnan 100 ML"
"9pm Rebel 100 ML","9pm-rebel-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Afnan","1","9pm Rebel 100 ML"
"9am Dive 100 ML","9am-dive-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","9am Dive 100 ML"
"9am Pour Femme 100 ML","9am-pour-femme-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","9am Pour Femme 100 ML"
"9pm Pour Femme 100 ML","9pm-pour-femme-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Afnan","1","9pm Pour Femme 100 ML"
"Pegasus Marly 100 ML","pegasus-marly-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Parfums%20de%20Marly","1","Pegasus Marly 100 ML"
"Layton Royal 100 ML","layton-royal-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Parfums%20de%20Marly","1","Layton Royal 100 ML"
"Marly Kalan 100 ML","marly-kalan-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Parfums%20de%20Marly","1","Marly Kalan 100 ML"
"Delina Royal 80 ML","delina-royal-80-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Parfums%20de%20Marly","1","Delina Royal 80 ML"
"Xerjoff-erba Pura 100 ML","xerjoff-erba-pura-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Xerjoff","1","Xerjoff-erba Pura 100 ML"
"Xerjoff-naxos 100 ML","xerjoff-naxos-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Xerjoff","1","Xerjoff-naxos 100 ML"
"Bianco Latte 100 ML","bianco-latte-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Bianco Latte 100 ML"
"Oud For Greatness 100 ML","oud-for-greatness-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Oud For Greatness 100 ML"
"Bond Bleecker Street 100 ML","bond-bleecker-street-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Bond Bleecker Street 100 ML"
"Santal 33 100 ML","santal-33-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Le%20Labo","1","Santal 33 100 ML"
"Arabians Tonka 100 ML","arabians-tonka-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Arabians Tonka 100 ML"
"Starry Night Montale 100 ML","starry-night-montale-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Starry Night Montale 100 ML"
"Montale Rose Musk 100 ML","montale-rose-musk-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Montale Rose Musk 100 ML"
"Bacarat Rouge 540 65 ML","bacarat-rouge-540-65-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lattafa","1","Bacarat Rouge 540 65 ML"
"Le Male La Parfum-lata 120 ML","le-male-la-parfum-lata-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Jean%20Paul%20Gaultier","1","Le Male La Parfum-lata 120 ML"
"Yvest Saint Laurent 100ml","yvest-saint-laurent-100ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Yves%20Saint%20Laurent","1","Yvest Saint Laurent 100ml"
"Invictus Victory 100 ML","invictus-victory-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Invictus Victory 100 ML"
"Invictus Aqua 100 ML","invictus-aqua-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Invictus Aqua 100 ML"
"Invictus Platinum 100 ML","invictus-platinum-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Invictus Platinum 100 ML"
